       107       7716        847   0.345188   0.016641
      2100       6384       9971   0.969953   0.834959
      6413       1514       1940   0.828885   0.826602
      4240       3817       5633   0.124147   0.257443
      4882       2150       3327   0.503724   0.873650
      2935       5088       9724   0.550332   0.325609
      4825       8018       1202   0.128692   0.049957
      9148       6307       4168   0.410860   0.009358
      9192       5360       4120   0.180746   0.936286
      1650       5513       2838   0.899948   0.589708
